"","Score","Tweet","Continent"
"331",3,"uscellular iphone 5s is now available from us cellular httptcoval8rsipiw i dont feel like waiting all day in the store joke","NorthAmerica"
"332",2,"does anyone happen to have a spare chord for the iphone 55sipad 4 that i could borrow","NorthAmerica"
"333",-1,"ready gadgetparkiphone5s 16 gold 13950000iphone5s 16 w fransisca 7 others at gadget park httpstco3w1naw9fxg","Australia"
"334",0,"getting the iphone5s ","NorthAmerica"
"335",-3,"mr cassie kept bragging about his iphone 5s today and im just so jealous","NorthAmerica"
"336",1,"everyone is just getting their iphone 5s in gold and im like i been had the shit ","NorthAmerica"
"337",1,"iphone 5s with cover ted baker and 3 in 1 lens satu hahahahaha plissss lah plisss lah","NULL"
"338",2,"jiameis its time for iphone 5s","NULL"
"339",1,"the iphone 5s camera is amazing i love it","NorthAmerica"
"340",1,"today i dropped my 5sat walmart same place i shattered my iphone 4 and it didnt break sohappy","NorthAmerica"
"341",1,"guess who is rocking the faze background for his iphone 5sfazeup httptcohr8ymig9ng","NorthAmerica"
"342",2,"can someone at applenws tell me how long it takes to make a new iphone 5s in gold i have been waiting on att since sept 27th","NorthAmerica"
"343",2,"my dad literally just handed me the iphone 5s and said because im proud of you umok thanksdaddyo luvu ","NorthAmerica"
"344",1,"should i get the iphone 5 5s or 5c ","NorthAmerica"
"345",2,"finally got my phone i guess 5s will have to wait","NorthAmerica"
"346",0,"kevinstape i dont know why but i did iphone5s httptcojj0fgwdoba damn hoe ass teamandroid","NorthAmerica"
"347",3,"i just want a macbook pro full sized ipad and an iphone 5s and a desktop mac for christmas too much to ask for yeahhhh probably so ","NorthAmerica"
"348",0,"ya boy 2lanez tweeting live from his new iphone 5s ","NorthAmerica"
"349",0,"the most dramatic kettlebell swings ever haha performed by kflandes edited by me via iphone5s httptco9abuosdooq","Asia"
"350",1,"this is one of the best presents ever i love this phone so much 16 iphone5s","NorthAmerica"
"351",-2,"i regret getting the iphone 5s soooo bad i want the galaxy note3","NorthAmerica"
"352",0,"i want iphone 5s","Asia"
"353",1,"my brother broke a brito sculpture we had at home so no new iphone5s for him lol","NorthAmerica"
"354",2,"selling my note 2 to get the gold iphone 5s ","NorthAmerica"
"355",0,"this iphone 5s is ridiculous lovin it","NorthAmerica"
"356",1,"palmsolo man you causing me some major phone envylust right now just keep telling myself iphone 5s is enough iphone 5s is enough ","NorthAmerica"
"357",1,"cocoy im on 5s level 2 already restart the phone rom","Asia"
"358",3,"cant wait to have the sweet feel of an iphone 5s in my hands","NorthAmerica"
"359",1,"quizclothing win this fabulous iphone gold 5s from quiz just follow us and rt this tweet for a chance to win httptcortxmsydzsb","Europe"
"360",-1,"iphone 5s out shit a nigga still got a damn 4 smh damn not even 4s plan old 4 damn","NorthAmerica"
"361",1,"that iphone 5s of hers her in general ","NorthAmerica"
"362",0,"just got this iphone 5s","NorthAmerica"
"363",4,"only 39 contacts in my 5s compared to my iphone 5 that had 164 ","NorthAmerica"
"364",2,"scienceporn the human eye has around 576 megapixels compared to the iphone 5s that has only an 8 megapixel camera woah ","NorthAmerica"
"365",7,"great day got my iphone 5s traded my 4s for dre beats got compliments on my weightloss by like 5 different people id say productive day ","NorthAmerica"
"366",0,"iphone 5s rt mavula31 what phone are you using realtalkfriday","Africa"
"367",2,"apathydgz my friend dad is big in the illuminati and says im gonna get framed for murder since i get the iphone 5s lmao","NorthAmerica"
"368",2,"the human eye has around 576 megapixels compared to the iphone 5s that has only an 8 megapixel camera ff scienceporn","Europe"
"369",1,"love my new winter case snowflake cute sparkly iphone5s httptcohdfwgcmon9","Europe"
"370",-1,"china mobile expected to launch 4g service with iphone 5s5c on december 18 httptcoambtqtzkoj","NorthAmerica"
"371",0,"jayydreams ayedee143 iphone5s lol ohhh you badddd lol","NorthAmerica"
"372",0,"twitter new update iphone5s","Asia"
"373",1,"magicsuitcase i have a iphone 5s bloody fingerprint wont work im on my 3rd phone","Europe"
"374",1,"tryna get my hands on the iphone5s fuckit httptco9mpui0rfpc","NorthAmerica"
"375",0,"gold iphone 5s coming soon","NorthAmerica"
"376",0,"so so so jel of ryans iphone 5s","Europe"
"377",-1,"first check in with my new iphone5s at vouchercloud hq httptcouq10ezyavl","Europe"
"378",0,"iphone 5s water proof case was a success whos excited meannef httptcoy4b3eguket","Asia"
"379",0,"i want iphone 5s badly ","NULL"
"380",0,"iphone 5s please ","Asia"
"381",1,"scienceporn the human eye has around 576 megapixels the iphone 5s has only an 8 megapixel camera i knew the iphone was crap","Europe"
"382",2,"that iphone 5s can i get a loan against my scholarship allowance ","Africa"
"383",1,"privacy concerns just scan the tip of your nose instead looks funny but it works have fun with that in cupertino touchid iphone5s","Europe"
"384",1,"given the choice of a xperia z1 or iphone5s i have no regrets choosing sony yet its early days","Europe"
"385",3,"my mom talking about getting her bf an expensive ass watch for christmas if she doesnt come thru with my iphone 5s shes faaaake","NorthAmerica"
"386",-3,"christmas wish list iphone 5s derrick rose cap camouflage at nba shop online derrick rose shirt at adidas or at nba shop online ","NULL"
"387",0,"iphone 5s will be mine","NULL"
"388",1,"tried to plug in the headphones at the top of my phone was like wtf why isnt it going in then realized i have the 5s its at the bottom","NorthAmerica"
"389",1,"loving my new gold iphone 5s","Europe"
"390",0,"here you are flossing with an iphone5s yet around 5000 years ago moseswas given 2 tablets by god","Africa"
"391",3,"mscatredbreast missbethandrews depends on the quality of the phone just got iphone 5s and my previous 2 iphones still work to this day","Africa"
"392",1,"after many years say bye bye blackberry hellooooo iphone5s i didnt even have to leave the comfort of my home httptconjwau1k3wp","Africa"
"393",1,"sunway pyramid with sister looking for another iphone 5s for her ","NULL"
"394",0,"buy me the iphone 5s ill love you forever ","NorthAmerica"
"395",1,"newiphone7 iphone5s who want one httptcoo0grt2tpxw","NULL"
"396",2,"my brother didnt wanna get me the iphone 5s ","NorthAmerica"
"397",0,"by iphone i mean the 5s","NorthAmerica"
"398",0,"vodacom the apple iphone 5s is thinner lighter faster magical classy 5swords ","Africa"
"399",2,"vodacom describe the apple iphone 5s in 5 words using the 5swords hashtag 5swords an absolute piece of shitdid i win","Africa"
"400",7,"mtnza i qualify for an upgrade want2 upgrade 2 iphone 5s 32gb on my anytime 350but i cant find the mtn direct nocan someone call me","Africa"
"401",1,"been to 3 apple stores and even in carrefour all 3 colors of the iphone 5s regardless of the phone memory are sold out","Asia"
"402",0,"mum jst got her iphone 5s well jell","Europe"
"403",2,"no guys if you host the launch of the audi showroom or the iphone5s they dont give you an audir8 or an iphone5s gold","Asia"
"404",4,"im actually so hacked the 5s is smaller then the 5 that time i bought so many covers for my phone and now","Africa"
"405",0,"bought iphone5s hehe yay","NULL"
"406",0,"yeaaaaay umi nak belikaaan iphone 5s gold yeaaaaaay yeaaaaay omgggg omg omg httptcowafut6qch6","NULL"
"407",0,"pizza pizza dinner food yummy iphone5s instagram la hostaria httptcoyhyhb4wvix","NULL"
"408",0,"also the fingerprint scanner on the iphone 5s is the coolest thing ever omfg","NorthAmerica"
"409",0,"iphone 5s we finally meet","Europe"
"410",1,"iphone 5s price index calculates how expensive it is in real mone httptcoyzwiii74na","Africa"
"411",1,"anyone know of any good iphone 5s or 5c contract deals anywhere","Europe"
"412",0,"viernesconvde iphone 5s telcel","NorthAmerica"
"413",-2,"a grey morning fog trees bleh iphone5s backyard of the lodge at marion httptco0rrf64tsun","NorthAmerica"
"414",0,"iphone 5s te aguardo em janeiro ","SouthAmerica"
"415",1,"this iphone 5s seems much faster than my old phone also seems quieter though when listening to music though maybe im just going deaf","Europe"
"416",0,"hello there just got a new shiny iphone 5s apple iphone trondheim iznize erikkaarstad tmp norge httptcomjebc7u3wy","Europe"
"417",0,"cheese cake yummy dessert food cake cheese iphone5s instagram paris baguete httptcoucro7vyy3p","NULL"
"418",0,"the iphone is hereiphone5s vemquevaiacabar stolzeland alicecorrea hannaromanazzi httptcob1moyy2ltb","SouthAmerica"
"419",-1,"new iphone 5s has arrived but its at dads office at home bummer ","Europe"
"420",1,"why does a third grader have an iphone5s","NorthAmerica"
"421",1,"need this iphone 5s shit is toooooo classy like oprah sippin on some tea and eating crumpets","NorthAmerica"
"422",3,"yay iphone 5s waiting for me on kitchen bench when i got home win","Australia"
"423",0,"iphone 5s kopen jaaa jfk computersystems jfkcomputers httptcoor4kqw6ie8","Europe"
"424",0,"agora vai iphone5s black 32g top apple viciado r g plast cabides infantis httptco6prauynv4f","SouthAmerica"
"425",0,"iphone 5s gold dancing alanta lol","Europe"
"426",3,"helped my brother trade his iphone 4 for a 5s last night gotta say it seems pretty boss temporarilysadandroiduser","NorthAmerica"
"427",3,"why are iphone 5s so slippy i spend 90 of my time trying to keep it in my hands","Europe"
"428",3,"yay its my birthday but i honestly just want my iphone 5s","NorthAmerica"
"429",0,"i aint ratchet arsenalsblood twerk jare neliewhyte iphone 5s gold dancing alanta lol","Europe"
"430",1,"should i get some sexy rims or iphone5s or xbox one","NorthAmerica"
"431",1,"i0s1q i hope this is the future on my iphone 5s httptcov76hi942ep","Europe"
"432",0,"iphone 5s i need you ","NULL"
"433",-1,"natashaayusoff sephiaeddy iphone 5s gold rm1500 ori set beli at least 4 dapat rm1400 rt please twtjohor kuantantv serious","NULL"
"434",-1,"iphone 5s battery is actually amazing compared to the 44s","Europe"
"435",3,"time for an upgrade should i het the iphone5s ","NorthAmerica"
"436",-2,"whoever made the iphone 5s battery is ridiculous","NorthAmerica"
"437",2,"my grandas just asked me to go to the fort with him so he can get an iphone 5s wit ruokayjay","Europe"
"438",-1,"o2 yeahh i run out every month i get 1gb a iphone 5s","Europe"
"439",3,"its the time everyone has been waiting for iphone5s hotfmsejuta mlm ni","NULL"
"440",1,"im loving my new iphone5s","NULL"
"441",0,"this iphone 5s is peeeeeeng","Europe"
"442",0,"rainy nyc realtime iphone5s west side rail yards lirr httptcobw4ahl2jja","NorthAmerica"
"443",0,"iphone 5s battery is the worst","NorthAmerica"
"444",0,"hello world tweet no1 from iphone5s","Asia"
"445",0,"got the iphone 5s today very nice if i do say so","Europe"
"446",0,"welcome my new iphone 5s first touch you would say apple thailand httptcotqfugc4x40","Asia"
"447",4,"wouldnt dare trade my 5s for any galaxy phone but it crossed my mind just so i could get a smartwatch to go with it","NorthAmerica"
"448",1,"are you gonna give me iphone 5s hotfm976 hotfmsejuta are you wiz httptcoxhoq3scgbp","NULL"
"449",0,"surprised my little sister yesterday with a new iphone 5s so much fun to pull it off without her having any idea ","NorthAmerica"
"450",1,"orangees can anyone please help me with my iphone 5s order","Europe"
"451",1,"finally i can use my iphone5s ","Africa"
"452",4,"thickemsss coronapapi thickemsss gotta iphone 5s for u what company i gotta 4 for sale its att for 100","NorthAmerica"
"453",1,"going to get my iphone 5s today ","NorthAmerica"
"454",1,"got my new iphone 5s httptcopxfsyff0zg","Europe"
"455",2,"i will not be getting the 5s makes no sense if all thats changed is the fact that i can unlock my phone with my fingerprint","NorthAmerica"
"456",0,"sarahs on the iphone 5s hype ","Europe"
"457",0,"sos do i get the silver or gold iphone 5s","NorthAmerica"
"458",0,"getting the gold iphone 5s ","NorthAmerica"
"459",0,"bmobile and that iphone 5s price with data allyuh could kiss my ass yes lol digicel prepaid all the way ","NorthAmerica"
"460",1,"not sure why i dreamt of the iphone 5s last night that fingerprint sensor though ","NorthAmerica"
"461",3,"my phone doesnt tell me when i get texts anymore slowly but surely its destructing so ill upgrade to the 5s i see what youre doing ","NorthAmerica"
"462",0,"basuh kete vacuum ruma dpt iphone 5s thank you father ","NULL"
"463",2,"waiting for samsung galaxy s4 and iphone 5s d","NULL"
"464",2,"scienceporn the human eye has around 576 megapixels compared to the iphone 5s that has only an 8 megapixel camera fb","Asia"
"465",0,"finally i got the iphone 5s villaggio mall httptco2wxfdnrcx1","Asia"
"466",2,"hey dad what do you want for you birthday an iphone 5s fml","NorthAmerica"
"467",4,"i think its so cool that the iphone5s will tell you how long it takes you to drive home from your current location when youre away ","Europe"
"468",2,"hey dad what do you want for your birthdayan iphone 5sfml","NorthAmerica"
"469",2,"133x anamorphic adapter lens for iphone 55s by moondog labs httptco64y94tcxg9 via kickstarter this is amazing i want one","NorthAmerica"
"470",0,"need to get this iphone 5s already ","NorthAmerica"
"471",1,"really need to register more fingerprints on my 5s im becoming a wristcontortionist iphone firstworldproblems","Europe"
"472",0,"im loving this 5s iphone","NorthAmerica"
"473",-2,"compared the real cost of apples iphone 5s around the world httptcoi9paaig7wb","Europe"
"474",1,"rt quizclothing win this fabulous iphone gold 5s from quiz just follow us and rt this tweet for a chance to win httptcortxmsydzsb","Europe"
"475",3,"rt meccabingo rtandfollow for a chance to win an iphone 5s to celebrate our fantastic new iphone app httptco06btownyka ends 2 dec","Europe"
"476",1,"dad just ordered my iphone 5s ","Europe"
"477",2,"fact the human eye has around 576 megapixels compared to the iphone 5s that has only an 8 megapixel camera","NULL"
"478",3,"cant wait get home and play on my new iphone5s ","Europe"
"479",0,"leehickmans iphone 5s 64gb50 phone unllimited everything 37 a month 4g tariff","Europe"
"480",4,"is it weird i seriously like my iphone 4s more then my 5s","NorthAmerica"
"481",2,"that means you might be getting one 2coolsosmooth i had a dream i found a brand new iphone 5s then i woke up ","NorthAmerica"
"482",3,"ordered two iphone cables for my 5s and they are not certified so wont charge my phone ","Europe"
"483",2,"cant believe ive scratch the screen on my lovely iphone 5s whyyy me","Europe"
"484",0,"anyone wanna buy a iphone5s gold 16gb","Europe"
"485",2,"proud owner of the apple iphone5s in gold mtn your guys rock i love my new iphone httptcov8yum3age3","Africa"
"486",-1,"i just hate iphone 5s","NULL"
"487",3,"elexis got an upgrade to the iphone 5s now she has a better phone then me lmao karmaaf","NorthAmerica"
"488",0,"great cupcakes ever credits to chrissmak cupcakes instatan iphone5s birthday instagramer httptco0yvc5kq14i","Europe"
"489",0,"lush iphone 5s crackedscreen fuckedit ditd bill droppedit httptco09gwefnhh3","Europe"
"490",0,"vodafoneukhelp iphone 5s 4g is on in the settings and no i get gprs or e","Europe"
"491",0,"well hello iphone 5s will you be mine next month ","Europe"
"492",0,"twitter on the iphone 5s is just","Europe"
"493",1,"love pay day new iphone5s treated myself dobb brow httptcodcghjfl5i6","Europe"
"494",2,"any iphone 5 5s or 5c for sale","NorthAmerica"
"495",0,"unlocked iphones now available anyone who wants to cutoff contract based upgrades httptco9e4o5i5jju","NorthAmerica"
"496",2,"get my iphone 5s sunday for sure","NorthAmerica"
"497",0,"apple starts selling unlocked simfree iphone 5s in the us httptcovwv97vhu71","Asia"
"498",0,"just upgraded to the iphone5s enjoyingit","NorthAmerica"
"499",1,"my dad just bought the iphone 5s 00","NorthAmerica"
"500",0,"never mind the iphone 5s and ps4s its all about the pedegg this christmas","Europe"
"501",1,"pavreddy thanks pavan no photoshop just my iphone 5s","Asia"
"502",0,"i want the iphone 5s","NorthAmerica"
"503",0,"xmas tree again xmas tree happeningnow instatan iphone5s instagramer laureate httptco6lxq7uefqr","Europe"
"504",1,"there arent many decent cases for iphone 5s","Europe"
"505",1,"picking up my new gold iphone 5s ","NorthAmerica"
"506",2,"if i find your iphone 5s on the floor of a frat house i return it gooddeed","NorthAmerica"
"507",-1,"just witnessed the crime of the century a girl carrying iphone 5s gold with pink rubber bunny ears cover twat","Europe"
"508",3,"mthigo my nigga rt pholoba1jay finally got my iphone d 5s my niggar korea isangduzula kancane lol","Africa"
"509",1,"iphone 5s come at me httptcobmzzxrpqzk","Europe"
"510",2,"gnelis had the iphone 5s a week cancelled insurance on old iphone and hadnt renewed sods law paid 13 insurance for 3 yrs","Europe"
"511",0,"just brought the iphone 5s ","NorthAmerica"
"512",1,"somebody on reddit was supposed to get his girlfriend an iphone 5s he upgraded her to ios 7 and got her a new case she was happy winning","NorthAmerica"
"513",1,"gna give the iphone 5 back gna get the 5s next month in shaa allah","Europe"
"514",1,"hardly just treated myself to an iphone 5s ","Europe"
"515",0,"apple starts selling unlocked simfree iphone 5s in the ushttptconqtpaqqodn","NorthAmerica"
"516",0,"xmas spirit xmas instatan iphone5s instagramer tree friends bday party laureate httptcowfoxaj23sw","Europe"
"517",2,"sprint how much would it cost to get the iphone 5s if i already have a contract and do the one up plan","NorthAmerica"
"518",0,"karmuxlow2 810robo iphone 5s forsure","NorthAmerica"
"519",0,"briantong hey brian im using a samsung s4 now but im sick with this plastic feel which one should i pick s4 or the new iphone 5s","Asia"
"520",2,"all i want on black friday is a iphone 5s im tired of my 5","NorthAmerica"
"521",1,"lol my brothers gf iphone 5s got stolen ","Europe"
"522",2,"this iphone 5s is too big for my hand kidshands","Europe"
"523",0,"available in damascus iphone 5s 16gb black and whiteprice 835 iphone 5s 16gb gold price 900","Asia"
"524",1,"star xmas tree instatan iphone5s instagramer friends uk laureate httptcovwsidjb3up","Europe"
"525",1,"knguy its l1sssa and her new shitty iphone 5s","NorthAmerica"
"526",1,"yall dudes with the iphone 5s with the thumb scanner your girl gone cut off your prints just to look in your phone","NorthAmerica"
"527",0,"just got myself a wee iphone 5s cheeky iphone5s","Europe"
"528",1,"ahahaha can you like not huddle up with your iphone5s trying to be cute thx byyye","NorthAmerica"
"529",-1,"kristen just put her new iphone 5s in the wash and now shes trying to pry the door open","NorthAmerica"
"530",1,"she have the iphone 5c or 5s i think its iphone 5s","NorthAmerica"
"531",2,"soooo who wants to buy me the 5s gold iphone for christmas ","NorthAmerica"
"532",2,"joecook93 ill take an iphone 5s in gold you are good to me","Europe"
"533",1,"girl dsqiared cool sexy mercedes iphone5s mirror cyprus alexander the great hotel httptcosvs78lscyl","Asia"
"534",0,"getting the iphone 5s today ","NorthAmerica"
"535",1,"muzzayy and then buy iphone 5s cool beans boss","Europe"
"536",-2,"crazy time xmas tree friends instagram iphone5s instagramer crazy laureate httptcoc3pgp0rqgb","Europe"
"537",0,"getting a rose gold iphone 5s ","Europe"
"538",7,"love my daddy 15 for the cinema 25 for mummys present 200 for christmas clothes100 for my jls concertstopupiphone5s for christmas","Europe"
"539",0,"nice evening happy weekend clumsyninaninaiphone5s httptcobbqnlyotf6","Europe"
"540",1,"getting my new phone tomorrow stoked iphone5s","NorthAmerica"
"541",2,"my boss is getting me a new iphone 5s ","NorthAmerica"
"542",0,"the iphone 5s ","NorthAmerica"
"543",2,"thanks apple my fingerprint reader on my iphone 5s lasted a whole two months i still have fingers","Europe"
"544",2,"how has my dad who cant even use a nokia got an iphone 5s","Europe"
"545",1,"first tweet from my new iphone 5s","NorthAmerica"
"546",0,"iphone5s shopping apple store w nicoledibbets httptcoknz7sn9rvi","NorthAmerica"
"547",0,"xmas nighty tree instagram iphone5s instagramer xmas tree laureate httptco6oafrfe9ny","Europe"
"548",2,"stevennesden any1 gotta iphone 5 5s 5c for sale let me know please x got a nokia 32 10 with your name all over it bro polyphonic x","Europe"
"549",2,"on my needs list1 lasik eye surgery2 samsung smart tv3 ps44 iphone 5s","NorthAmerica"
"550",3,"iphone 5 or wait for a 5s","NorthAmerica"
"551",2,"crossing our fingers on getting the iphone 5s just waiting for them to call back","NorthAmerica"
"552",-1,"i cant even have a serious conversation with dad about wanting a iphone 5s because he just laughs in my face","Europe"
"553",0,"now with an iphone5s ","Europe"
"554",1,"i wuv my new gold iphone 5s ","NorthAmerica"
"555",6,"i want an iphone 5s but for that i need to sell my iphone 5 who wants to buy it","NorthAmerica"
"556",0,"hug the sea ios instapic iphone5s instacool instagood instagram instamood instaview httptco2bd6v9swd7","Europe"
"557",3,"ordered an iphone 5s and accidentally got a white one nooooo 400 mistake hope i can cancel it girly","NorthAmerica"
"558",-2,"plastic pose taken with iphone 5s edited with filterstorm neuesnapseedvscocam apps metro httptcolr4qsk2ws9","Europe"
"559",0,"newiphone7 who want iphone5s httptcomgq9jbkn0y","SouthAmerica"
"560",2,"somebody anybody i would like a iphone 5s att for christmas ","NorthAmerica"
"561",2,"1 new friends2 new relatives3 iphone 5s4 believe it or not a nike running shoesbestthingsigotin2013","Asia"
"562",2,"for all u iphone 5s users if u want the finger print reader to work all the time just double register your thumb fuckin works","NorthAmerica"
"563",1,"i really like the iphone 5c more than the 5s tbh idek why","Asia"
"564",0,"vodafoneuk i am i think ill have to take my early upgrade and a new iphone 5s to ease the pain","Europe"
"565",0,"better late than never iphone5s naves room httptco1ansog4cwl","Europe"
"566",3,"ill buy an iphone 5s thats it for me","NorthAmerica"
"567",1,"having my iphone 5s with out its case is a beautiful thing but its too risky","Europe"
"568",1,"i love my iphone5s ","NorthAmerica"
"569",1,"this is the i phone 5s is the same shit as the rest httptcohzeneyyeyp","NorthAmerica"
"570",0,"iphoneteam unlocked simfree iphone 5s now offered on apples online store in the us httptcoeioygh6i4f foh w them prices","NorthAmerica"
"571",4,"seriously the note 3 charges fast as hell 0 to 98 in half the time it took my iphone 5s","NorthAmerica"
"572",0,"gold iphone 5s now in stock httptcop2ccxt1dq4","NorthAmerica"
"573",1,"tweeting from my new iphone 5s itsabouttime newphoneswag","NorthAmerica"
"574",0,"student loan is finally in so i decided to treat myself iphone5s ohhelloyou","Europe"
"575",2,"funniest shit ive read all day will this iphone 5s case fit on my 4 no idiot","NorthAmerica"
"576",3,"my mom said she wants an iphone 5s for christmas ehhhh","NorthAmerica"
"577",2,"the fact that my dad got the iphone 5s","NorthAmerica"
"578",-1,"discovered and tried out a new feature on the iphone 5s called slowmo nd it turned out to be awesome httptcobkzkrqhlfi","Asia"
"579",0,"julie and her new toy vscocam iphone5s dr martin luther king jr branch library httptconzzszjdx2h","NorthAmerica"
"580",0,"distractions vscocam iphone5s dr martin luther king jr branch library httptcogw5ubjojpm","NorthAmerica"
"581",3,"my girlfriend kimvanhengel finally gets on twitter only took an iphone 5s to get her there","Europe"
"582",4,"is it just my phone or every pic i try to make my home screen on my 5s stretches and looks shitty ","NorthAmerica"
"583",2,"i am the new owner of an iphone 5s upgrade","NorthAmerica"
"584",0,"apple starts selling unlocked simfree iphone 5s in the ushttptcopwqnoc8kuj","Europe"
"585",1,"ryanmckenna9 gabrielfarren s4 is better than an iphone 5s nevermind 4s","Europe"
"586",0,"iphone 5s is needed","Asia"
"587",-1,"bday night out friends instagram iphone5s instagramer bday themilkthistle the milk thistle httptcotq1dl1jhpn","Europe"
"588",0,"bday girl happy bday instagram iphone5s instagramer friends themilkthistle chris chrissmak httptcouwdguqlh8y","Europe"
"589",1,"my 9 year old cousin just got a iphone 5s oh ok","NorthAmerica"
"590",1,"one new iphone 5s coming my way","Europe"
"591",3,"in talks of a deal for iphone5s with my cousin how can he throw in free post and packaging for me","Europe"
"592",2,"because we are an android rt scienceporn human eye has around 576 megapixels compared to the iphone 5s that has only 8 megapixel cam","Asia"
"593",2,"mrodofficial what kind of iphone do you have you should get that 5s it really kool","NorthAmerica"
"594",0,"meu mais novo mimo new iphone iphone5s iphonesia brinquedo ios7 ios apple jeffersons home httptcopua6q6zvhr","SouthAmerica"
"595",-2,"dad said i cant be walking around these parts with a broke ass iphone were going to the sprint store i just might be getting a 5s ","NorthAmerica"
"596",1,"good night yall bonne nuit tous igers instapic instired iphone5s instagood iphonesia httptconv3ua7vg4i","Europe"
"597",0,"come home to find out the mother has a brand new iphone 5s httptcowj6rpmmtpk","Europe"
"598",-1,"birthday drinks at themilkthistle friends instagram iphone5s instagramer love bday nightout httptcobkfqfvtl0j","Europe"
"599",3,"anybody selling an iphone 5 or 5s for tmobile ","NorthAmerica"
"600",2,"one of them has an iphone 5s when i was 10 i had a flip phone","NorthAmerica"
"601",1,"apple now accepts orders for unlocked iphone 5s handsets httptcof7uxpmvl81","NorthAmerica"
"602",0,"ball circle instapic instagood instapic instagramers instaphoto photographer iphone5s httptcotsxae4wtd8","SouthAmerica"
"603",0,"wildcat684 not even dude youre all rich with that iphone 5s and those badass beats","NorthAmerica"
"604",-1,"apple begins offering unlocked simfree iphone 5s models in us with 12 week shipping mac rumorshttptcokiptlclugo","Asia"
"605",0,"i have this urge to go buy the iphone 5s in gold rn ","NorthAmerica"
"606",2,"tgray72 im getting a job so ill just work up for it my birthday went to the iphone 5s so i cant use both now damn","NorthAmerica"
"607",0,"wifi speed on the iphone 5s is really incredible have i been breathing crude oil until now","Europe"
"608",6,"my 10 years old sister can i have 15 dollars for my laps at school me dont you have money lil did im saving up for an iphone 5s","NorthAmerica"
"609",0,"love this iphone 5s","NorthAmerica"
"610",0,"why must you restart all the timeios7problems ios7 iphone iphone5s","NorthAmerica"
"611",2,"cracked my phone screen so moms bought me a new iphone 5s and a life proof case mommasboy","NorthAmerica"
"612",2,"soooo today i dropped my phone in the toilet in my own fecesbut i went got the gold 5s sooo no biggy","NorthAmerica"
"613",1,"just got that iphone 5s boy allgoldeverything","NorthAmerica"
"614",2,"someone pls give me 40 so i can get my new iphone 5s already d","NorthAmerica"
"615",1,"currently tweeting off of my new iphone5s ","NorthAmerica"
"616",4,"my iphone 5 is plenty fast aint no one got time for the 5s","NorthAmerica"
"617",3,"im that spoiled rotten child that has an iphone 5s but constantly thinks about getting the regular 5 back cause he liked it better","NorthAmerica"
"618",-2,"if you get bangs ill get you the iphone 5s and give you 100 seriously dad youre setting a hard bargain","NorthAmerica"
"619",2,"oh god when will they ever restock iphone 5s by that i dont mean limited stocks im not that crazy to queue up for an overpriced phone","NULL"
"620",0,"theyre here gold iphone 5ss in stock get yours t mobile httptconmov44psd1","NorthAmerica"
"621",4,"finally got my hands on the 5s not in golf that i wanted but a new phone better than an old one","NorthAmerica"
"622",1,"i really want the iphone 5s but i really dont want that update","NorthAmerica"
"623",0,"tonge miley ultimateinspiration not tonge instagram iphone5s instagramer friends nightout httptcocorzwxluzv","Europe"
"624",0,"bday girl friends chris instagram iphone5s instagramer nightout chrissmak the milk thistle httptcolg35v0kpk8","Europe"
"625",4,"my iphone 5s is waiting for me in minnesota ","NorthAmerica"
"626",3,"i should of got the black iphone 5s ioooon like the white one that much","NorthAmerica"
"627",-1,"i phone 5s sold out cb","NULL"
"628",0,"iphone 5s fever","Africa"
"629",-1,"americanair fyi improvements you should make wifi speed is way too slow in the lounge 1 mbs iphone 5s wont connect to wifi","Europe"
"630",1,"sanayapie iphone 5s or zedd zedd i have an iphone 4 so yeah p httptcovdrwttpwlx all i want 4 christmas is zeddddd ","NULL"
"631",0,"kiansantang radenkiansantang work shooting surakerta instagood isntamood instanesia iphone5s httptcoo8f5renw8f","NULL"
"632",2,"my friends during my breaks haha ipadmini iphone5s marlboro lunch work cvg loner httptcorfd1dsqnni","Asia"
"633",1,"iphone 5s vodacom get the allnew apple iphone 5c on a new contract or upgrade before 7 dec and get with an extra 500mb of data free","Africa"
"634",0," fyi iphone 5s gold available ","NULL"
"635",1,"just might be getting an iphone 5s today ","Europe"
"636",0,"photos tonto dikeh flaunts her diamond studded gold plated iphone5s httptcouqtrmkovkr","Africa"
"637",-1,"what is the deal with the audio quality when youre in the video camera its really muffled and bad apple iphone5s ipad video","Australia"
"638",0,"copperdoggie and his new iphone5sgold iphone5s iphone dog pup puppy httptcorqehulrj8n","Asia"
"639",2,"i dont like this toy its not chewable lol copperdoggie dog pup puppy iphone5sgold iphone5s httptco9okyoydodd","Asia"
"640",2,"half the time the iphone 5s will tell you your text hasnt been sent half the time it wont bother","Europe"
"641",1,"lock screen ni hubby si wifey instasize lockscreen iphone5s spacegray like love igers httptcol9zr89pzae","Asia"
"642",0,"pics diamond studded gold plated iphone5s tonto dikeh flaunts hers eff uyesthat is what middle finger httptcoycysoa4ecx","Africa"
"643",0," tonto dikeh flaunts her gold plated diamond studded iphone5s 18k gold rolex photos httptcoa0oy3nrmss naijavibe","Africa"
"644",0,"iphone5s is currently been shipped buzzing","Europe"
"645",0,"side dishes foodfood stephaniebaoo iphone5s iphonegraphy seoul yummy httptco692eorzg1t","NULL"
"646",0,"fried kimchi dumplings foodfood stephaniebaoo iphone5s iphonegraphy seoul yummy httptcook4cmlw601","NULL"
